STATENAME,MONTHNAME,HOUR,LGT_CONDNAME,,FATALS
Alabama,July,18,Daylight,,1
Alabama,July,21,Dark - Lighted,,1
Alabama,July,11,Daylight,,1
Alabama,July,5,Dawn,,2
Alabama,July,3,Dark - Not Lighted,,1
Alabama,July,10,Daylight,,1
Alabama,July,18,Daylight,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,21,Dusk,,1
Alabama,July,14,Daylight,,1
Alabama,July,15,Daylight,,2
Alabama,July,10,Daylight,,1
Alabama,July,1,Dark - Unknown Lighting,,1
Alabama,May,1,Dark - Lighted,,1
Alabama,May,0,Dark - Lighted,,1
Alabama,June,23,Dark - Not Lighted,,1
Alabama,June,14,Daylight,,8
Alabama,June,23,Dark - Not Lighted,,1
Alabama,July,17,Daylight,,1
Alabama,July,2,Dark - Not Lighted,,1
Alabama,July,19,Daylight,,1
Alabama,July,12,Daylight,,2
Alabama,July,18,Daylight,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,19,Dark - Not Lighted,,1
Alabama,July,14,Daylight,,1
Alabama,July,22,Dark - Not Lighted,,1
Alabama,July,4,Dark - Lighted,,1
Alabama,July,3,Dark - Not Lighted,,1
Alabama,July,14,Daylight,,1
Alabama,July,17,Daylight,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,16,Daylight,,1
Alabama,July,16,Daylight,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,3,Dark - Not Lighted,,1
Alabama,July,8,Daylight,,2
Alabama,July,0,Dark - Not Lighted,,1
Alabama,July,7,Daylight,,1
Alabama,July,6,Daylight,,1
Alabama,July,14,Daylight,,1
Alabama,July,21,Dark - Not Lighted,,1
Alabama,July,6,Daylight,,1
Alabama,July,0,Dark - Not Lighted,,1
Alabama,July,3,Dark - Not Lighted,,1
Alabama,July,3,Dark - Not Lighted,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,August,3,Dark - Not Lighted,,1
Alabama,July,6,Daylight,,1
Alabama,July,1,Dark - Unknown Lighting,,1
Alabama,July,0,Dark - Not Lighted,,1
Alabama,July,19,Dusk,,2
Alabama,July,7,Daylight,,1
Alabama,July,9,Daylight,,1
Alabama,July,13,Daylight,,1
Alabama,July,18,Daylight,,1
Alabama,July,6,Dawn,,1
Alabama,July,16,Daylight,,1
Alabama,July,23,Dark - Not Lighted,,1
Alabama,July,0,Dark - Not Lighted,,1
Alabama,July,2,Dark - Not Lighted,,1
Alabama,July,20,Dark - Not Lighted,,2
Alabama,July,1,Dark - Not Lighted,,1
Alabama,July,2,Dark - Not Lighted,,1
Alabama,July,14,Daylight,,1
Alabama,July,3,Dark - Lighted,,1
Alabama,July,7,Daylight,,1
Alabama,July,10,Daylight,,2
Alabama,July,14,Daylight,,1
Alabama,July,16,Daylight,,1
Alabama,July,20,Dark - Lighted,,1
Alabama,July,15,Daylight,,1
Alabama,July,8,Daylight,,1
Alabama,July,10,Daylight,,1
Alabama,July,2,Dark - Not Lighted,,1
Alabama,July,16,Daylight,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,12,Daylight,,1
Alabama,July,19,Daylight,,1
Alabama,August,3,Dark - Lighted,,1
Alabama,August,17,Dusk,,1
Alabama,August,10,Daylight,,1
Alabama,August,9,Daylight,,1
Alabama,August,14,Daylight,,1
